Freq.,abs-Vvout/IR12*1000
1.00000000000000e+000,2.05036507766397e-001,0.00000000000000e+000
1.25892541179417e+000,2.31806524213498e-001,0.00000000000000e+000
1.58489319246111e+000,2.68712861081772e-001,0.00000000000000e+000
1.99526231496888e+000,3.18321987673389e-001,0.00000000000000e+000
2.51188643150958e+000,3.83537208182217e-001,0.00000000000000e+000
3.16227766016838e+000,4.67649396319932e-001,0.00000000000000e+000
3.98107170553497e+000,5.74321336962564e-001,0.00000000000000e+000
5.01187233627272e+000,7.07391904425316e-001,0.00000000000000e+000
6.30957344480194e+000,8.70348441000666e-001,0.00000000000000e+000
7.94328234724282e+000,1.06529352447270e+000,0.00000000000000e+000
1.00000000000000e+001,1.29131653099320e+000,0.00000000000000e+000
1.25892541179417e+001,1.54253944740387e+000,0.00000000000000e+000
1.58489319246111e+001,1.80682198744566e+000,0.00000000000000e+000
1.99526231496888e+001,2.06671948495884e+000,0.00000000000000e+000
2.51188643150958e+001,2.30358834011835e+000,0.00000000000000e+000
3.16227766016838e+001,2.50326283180791e+000,0.00000000000000e+000
3.98107170553498e+001,2.65979808644125e+000,0.00000000000000e+000
5.01187233627273e+001,2.77518895855844e+000,0.00000000000000e+000
6.30957344480194e+001,2.85624943610802e+000,0.00000000000000e+000
7.94328234724283e+001,2.91121360063309e+000,0.00000000000000e+000
1.00000000000000e+002,2.94756846363400e+000,0.00000000000000e+000
1.25892541179417e+002,2.97120836006936e+000,0.00000000000000e+000
1.58489319246112e+002,2.98639841420601e+000,0.00000000000000e+000
1.99526231496888e+002,2.99606755043481e+000,0.00000000000000e+000
2.51188643150958e+002,3.00215922749873e+000,0.00000000000000e+000
3.16227766016838e+002,3.00593003771750e+000,0.00000000000000e+000
3.98107170553498e+002,3.00817044422312e+000,0.00000000000000e+000
5.01187233627273e+002,3.00935470306233e+000,0.00000000000000e+000
6.30957344480194e+002,3.00973490219148e+000,0.00000000000000e+000
7.94328234724283e+002,3.00939219976692e+000,0.00000000000000e+000
1.00000000000000e+003,3.00825352399278e+000,0.00000000000000e+000
1.25892541179417e+003,3.00607661256039e+000,0.00000000000000e+000
1.58489319246112e+003,3.00240088450483e+000,0.00000000000000e+000
1.99526231496888e+003,2.99645633078780e+000,0.00000000000000e+000
2.51188643150959e+003,2.98701796240985e+000,0.00000000000000e+000
3.16227766016839e+003,2.97219181130441e+000,0.00000000000000e+000
3.98107170553498e+003,2.94912686374463e+000,0.00000000000000e+000
5.01187233627273e+003,2.91368079280151e+000,0.00000000000000e+000
6.30957344480195e+003,2.86015208507639e+000,0.00000000000000e+000
7.94328234724283e+003,2.78135204366773e+000,0.00000000000000e+000
1.00000000000000e+004,2.66949120394239e+000,0.00000000000000e+000
1.25892541179417e+004,2.51837105467446e+000,0.00000000000000e+000
1.58489319246112e+004,2.32674995592308e+000,0.00000000000000e+000
1.99526231496889e+004,2.10134219639512e+000,0.00000000000000e+000
2.51188643150959e+004,1.85693161181250e+000,0.00000000000000e+000
3.16227766016839e+004,1.61252920021726e+000,0.00000000000000e+000
3.98107170553498e+004,1.38572040622229e+000,0.00000000000000e+000
5.01187233627274e+004,1.18861766892998e+000,0.00000000000000e+000
6.30957344480195e+004,1.02687251148967e+000,0.00000000000000e+000
7.94328234724284e+004,9.00849530995331e-001,0.00000000000000e+000
1.00000000000000e+005,8.07497094540305e-001,0.00000000000000e+000
